ґъВл,јтіЖ,ИХЖЪ,З°КХЕМјЫ(ФЄ),їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),іЙЅ»Ѕр¶о(ФЄ),ХЗµш(ФЄ),ХЗµш·щ(%),ѕщјЫ(ФЄ),»»КЦВК(%),A№ЙБчНЁКРЦµ(ФЄ),B№ЙБчНЁКРЦµ(ФЄ),ЧЬКРЦµ(ФЄ),A№ЙБчНЁ№Й±ѕ(№Й),B№ЙБчНЁ№Й±ѕ(№Й),ЧЬ№Й±ѕ(№Й),КРУЇВК,КРѕ»ВК,КРПъВК,КРПЦВК,
002081.SZ,Ѕру«тл,20070426,36.18,36,36.2,35.3,35.5,408449,14557392.6,-0.68,-1.8795,35.6407,1.7019,852000000,,3337000000,24000000,0,94000000,52.392,6.377,1.8797,10.8061,
002081.SZ,Ѕру«тл,20070427,35.5,36,36,34.56,34.65,352107,12347238.7,-0.85,-2.3944,35.0667,1.4671,831600000,,3257100000,24000000,0,94000000,51.1375,6.2243,1.8347,10.5473,
002081.SZ,Ѕру«тл,20070430,34.65,34.47,35.1,34.01,34.43,512256,17689652.8,-0.22,-0.6349,34.5328,2.1344,826320000,,3236420000,24000000,0,94000000,50.8129,6.1848,1.823,10.4804,
002081.SZ,Ѕру«тл,20070508,34.43,35.21,35.65,34.51,35,732964,25816758.7,0.57,1.6555,35.2224,3.054,840000000,,3290000000,24000000,0,94000000,51.6541,6.2872,1.8532,10.6539,
002081.SZ,Ѕру«тл,20070509,35,34.61,35.01,33.96,34.4,920009,31579656.8,-0.6,-1.7143,34.3254,3.8334,825600000,,3233600000,24000000,0,94000000,50.7686,6.1794,1.8214,10.4712,
002081.SZ,Ѕру«тл,20070510,34.4,34.32,35.5,34,34.65,780567,26874416.8,0.25,0.7267,34.4294,3.2524,831600000,,3257100000,24000000,0,94000000,51.1375,6.2243,1.8347,10.5473,
002081.SZ,Ѕру«тл,20070511,34.65,34.1,34.48,33.5,34.21,345225,11752683.7,-0.44,-1.2698,34.0435,1.4384,821040000,,3215740000,24000000,0,94000000,50.4882,6.1453,1.8114,10.4134,
002081.SZ,Ѕру«тл,20070514,34.21,34,34.59,33.66,34.55,556869,18964185.4,0.34,0.9939,34.055,2.3203,829200000,,3247700000,24000000,0,94000000,50.99,6.2063,1.8294,10.5169,
002081.SZ,Ѕру«тл,20070515,34.55,34.58,34.88,33.51,33.86,438284,14940268.2,-0.69,-1.9971,34.0881,1.8262,812640000,,3182840000,24000000,0,94000000,49.9716,6.0824,1.7928,10.3068,
002081.SZ,Ѕру«тл,20070516,33.86,33.68,34.4,33.34,34.29,796557,26975719.8,0.43,1.2699,33.8654,3.319,822960000,,3223260000,24000000,0,94000000,50.6062,6.1596,1.8156,10.4377,
002081.SZ,Ѕру«тл,20070517,34.29,34.4007,35.5876,33.8977,35.3864,796665,27659010.3,1.0964,3.1974,34.7185,3.3194,844320000,,3306920000,24000000,0,94000000,51.9197,6.3195,1.8627,10.7087,
002081.SZ,Ѕру«тл,20070518,35.3864,35.6178,36.181,35.5675,35.6882,885822,31542070.9,0.3018,0.8528,35.6077,3.6909,851520000,,3335120000,24000000,0,94000000,52.3625,6.3734,1.8786,10.8,
002081.SZ,Ѕру«тл,20070521,35.6882,33.7167,35.658,33.7167,35.2154,532577,18597050.9,-0.4728,-1.3247,34.919,2.2191,840240000,,3290940000,24000000,0,94000000,51.6688,6.289,1.8537,10.6569,
002081.SZ,Ѕру«тл,20070522,35.2154,35.6982,36.513,35.0243,35.4266,791222,27949535.5,0.2112,0.5998,35.3245,3.2968,845280000,,3310680000,24000000,0,94000000,51.9788,6.3267,1.8648,10.7208,
002081.SZ,Ѕру«тл,20070523,35.4266,35.7083,35.7083,35.0846,35.6278,511402,18041923.4,0.2012,0.5679,35.2793,2.1308,850080000,,3329480000,24000000,0,94000000,52.2739,6.3626,1.8754,10.7817,
002081.SZ,Ѕру«тл,20070524,35.6278,35.7083,37.9011,35.6278,37.3478,2184432,80160446,1.72,4.8278,36.6962,9.1018,891120000,,3490220000,24000000,0,94000000,54.7976,6.6698,1.966,11.3022,
002081.SZ,Ѕру«тл,20070525,37.3478,37.3478,40.2045,36.7242,39.44,1516435,58144232.6,2.0922,5.6019,38.3427,6.3185,941040000,,3685740000,24000000,0,94000000,57.8673,7.0434,2.0761,11.9354,
002081.SZ,Ѕру«тл,20070528,39.44,39.3294,40.2045,38.8365,39.0176,914406,35700556.1,-0.4225,-1.0712,39.0423,3.81,930960000,,3646260000,24000000,0,94000000,57.2475,6.968,2.0539,11.8075,
002081.SZ,Ѕру«тл,20070529,39.0176,38.7259,39.611,38.4241,39.1182,627300,24287123.1,0.1006,0.2578,38.7169,2.6138,933360000,,3655660000,24000000,0,94000000,57.3951,6.9859,2.0592,11.838,
002081.SZ,Ѕру«тл,20070530,39.1182,35.7083,38.1022,35.2154,35.6781,1602291,58653646.7,-3.4401,-8.794,36.6061,6.6762,851280000,,3334180000,24000000,0,94000000,52.3477,6.3716,1.8781,10.7969,
002081.SZ,Ѕру«тл,20070531,35.6781,35.3059,37.207,34.3202,36.2012,1169389,42122870.4,0.5231,1.466,36.0213,4.8725,863760000,,3383060000,24000000,0,94000000,53.1152,6.465,1.9056,10.9552,
002081.SZ,Ѕру«тл,20070601,36.2012,36.4627,39.2188,36.2112,36.4325,1300411,48530462,0.2313,0.6391,37.3193,5.4184,869280000,,3404680000,24000000,0,94000000,53.4546,6.5063,1.9178,11.0252,
002081.SZ,Ѕру«тл,20070604,36.4325,37.0964,37.2171,33.1936,34.3001,1060553,37294371.9,-2.1324,-5.8531,35.165,4.419,818400000,,3205400000,24000000,0,94000000,50.3258,6.1255,1.8055,10.3799,
002081.SZ,Ѕру«тл,20070605,34.3001,34.1391,35.9698,33.2238,35.9597,1038199,35454541,1.6597,4.8387,34.15,4.3258,858000000,,3360500000,24000000,0,94000000,52.761,6.4219,1.8929,10.8822,
002081.SZ,Ѕру«тл,20070606,35.9597,36.3621,38.4241,35.5071,38.1224,1022627,38224056.7,2.1626,6.014,37.3783,4.2609,909600000,,3562600000,24000000,0,94000000,55.934,6.8081,2.0067,11.5366,
002081.SZ,Ѕру«тл,20070607,38.1224,38.3235,41.9346,38.3235,41.9346,1871091,76543896.1,3.8122,10,40.9087,7.7962,1000560000,,3918860000,24000000,0,94000000,61.5274,7.4889,2.2074,12.6903,
002081.SZ,Ѕру«тл,20070608,41.9346,42.3872,44.1374,41.7435,42.0452,1699098,72370596,0.1106,0.2639,42.5935,7.0796,1003200000,,3929200000,24000000,0,94000000,61.6897,7.5087,2.2132,12.7238,
002081.SZ,Ѕру«тл,20070611,42.0452,41.5222,46.2498,41.5222,46.1693,1305841,58508431.2,4.1241,9.8086,44.8052,5.441,1101600000,,4314600000,24000000,0,94000000,67.7406,8.2452,2.4303,13.9718,
002081.SZ,Ѕру«тл,20070612,46.1693,45.9681,48.0603,45.2741,46.6722,1056228,49149724.5,0.5029,1.0893,46.5333,4.4009,1113600000,,4361600000,24000000,0,94000000,68.4786,8.335,2.4568,14.124,
002081.SZ,Ѕру«тл,20070613,46.6722,47.2757,47.7787,45.8675,46.6421,851429,39237566.3,-0.0302,-0.0647,46.0844,3.5476,1112880000,,4358780000,24000000,0,94000000,68.4343,8.3296,2.4552,14.1148,
002081.SZ,Ѕру«тл,20070614,46.6421,45.948,47.5775,45.3143,46.6722,658560,30760696.6,0.0302,0.0647,46.709,2.744,1113600000,,4361600000,24000000,0,94000000,68.4786,8.335,2.4568,14.124,
002081.SZ,Ѕру«тл,20070615,46.6722,46.0788,46.7125,45.5457,45.7669,511649,23395358.4,-0.9053,-1.9397,45.7254,2.1319,1092000000,,4277000000,24000000,0,94000000,67.1503,8.1733,2.4092,13.85,
002081.SZ,Ѕру«тл,20070618,45.7669,46.2699,49.2875,46.2699,48.2816,583055,27832241.8,2.5147,5.4945,47.7352,2.4294,1152000000,,4512000000,24000000,0,94000000,70.8399,8.6224,2.5415,14.611,
002081.SZ,Ѕру«тл,20070619,48.2816,48.4828,48.4828,46.5716,46.6622,599596,28032409.5,-1.6194,-3.3542,46.7522,2.4983,1113360000,,4360660000,24000000,0,94000000,68.4638,8.3332,2.4563,14.1209,
002081.SZ,Ѕру«тл,20070620,46.6622,46.7728,47.1752,44.6605,44.6605,715150,32276334,-2.0017,-4.2897,45.1323,2.9798,1065600000,,4173600000,24000000,0,94000000,65.5269,7.9757,2.3509,13.5152,
002081.SZ,Ѕру«тл,20070621,44.6605,44.3587,45.0628,42.86,44.9421,424083,18627426.4,0.2816,0.6306,43.924,1.767,1072320000,,4199920000,24000000,0,94000000,65.9401,8.026,2.3657,13.6004,
002081.SZ,Ѕру«тл,20070622,44.9421,44.8416,45.1433,41.7435,43.1618,661298,28275026.5,-1.7804,-3.9615,42.7569,2.7554,1029840000,,4033540000,24000000,0,94000000,63.3279,7.7081,2.272,13.0616,
002081.SZ,Ѕру«тл,20070625,43.1618,43.2523,43.2523,39.7317,39.7317,512114,21175519.9,-3.43,-7.9469,41.3492,2.1338,948000000,,3713000000,24000000,0,94000000,58.2953,7.0955,2.0915,12.0236,
002081.SZ,Ѕру«тл,20070626,39.7317,39.6412,42.0452,39.2288,41.6328,448529,18211812.8,1.9011,4.7848,40.6034,1.8689,993360000,,3890660000,24000000,0,94000000,61.0846,7.435,2.1915,12.599,
