덜쯤,숌냔,휑퍅,품澗턍송(禱),역턍송(禱),離멕송(禱),離됴송(禱),澗턍송(禱),냥슥좆(믈),냥슥쏜띨(禱),朗딨(禱),朗딨류(%),엇송(禱),뻣癎쪽(%),A믈직繫懇令(禱),B믈직繫懇令(禱),悧懇令(禱),A믈직繫믈굶(믈),B믈직繫믈굶(믈),悧믈굶(믈),懇簞쪽,懇씐쪽,懇饋쪽,懇君쪽,
002102.SZ,ST박르,20070215,13.73,13.7,14,13.62,13.79,1187634,16326432.1,0.06,0.437,13.747,4.9485,330960000,,1567552848.82,24000000,0,113673158,45.8178,7.7493,4.6884,9.1805,
002102.SZ,ST박르,20070216,13.79,13.88,14.59,13.42,14.36,3362393,47136819.8,0.57,4.1334,14.0188,14.01,344640000,,1632346548.88,24000000,0,113673158,47.7116,8.0696,4.8822,9.56,
002102.SZ,ST박르,20070226,14.36,14.38,15.12,14.23,14.91,2205001,32682416.3,0.55,3.8301,14.822,9.1875,357840000,,1694866785.78,24000000,0,113673158,49.539,8.3787,5.0692,9.9262,
002102.SZ,ST박르,20070227,14.91,14.91,15.09,13.57,13.88,2252864,32469502.8,-1.03,-6.9081,14.4125,9.3869,333120000,,1577783433.04,24000000,0,113673158,46.1168,7.7999,4.719,9.2405,
002102.SZ,ST박르,20070228,13.88,13.68,14.48,13.6,14.43,1519390,21549106.5,0.55,3.9625,14.1827,6.3308,346320000,,1640303669.94,24000000,0,113673158,47.9442,8.1089,4.906,9.6066,
002102.SZ,ST박르,20070301,14.43,14.45,14.45,13.06,13.32,1212710,16737462.9,-1.11,-7.6923,13.8017,5.053,319680000,,1514126464.56,24000000,0,113673158,44.2562,7.4852,4.5286,8.8676,
002102.SZ,ST박르,20070302,13.32,13.36,13.67,13.23,13.53,1028860,13837713.8,0.21,1.5766,13.4496,4.2869,324720000,,1537997827.74,24000000,0,113673158,44.9539,7.6032,4.6,9.0074,
002102.SZ,ST박르,20070305,13.53,13.4,14.1,13,14,2239429,30933441.2,0.47,3.4738,13.8131,9.331,336000000,,1591424212,24000000,0,113673158,46.5155,7.8673,4.7598,9.3203,
002102.SZ,ST박르,20070306,14,13.72,13.98,13.6,13.89,323010,4458820.2,-0.11,-0.7857,13.804,1.3459,333360000,,1578920164.62,24000000,0,113673158,46.15,7.8055,4.7224,9.2471,
002102.SZ,ST박르,20070307,13.89,13.88,14.1,13.8,14,918499,12796199.9,0.11,0.7919,13.9316,3.8271,336000000,,1591424212,24000000,0,113673158,46.5155,7.8673,4.7598,9.3203,
002102.SZ,ST박르,20070308,14,13.9,14.46,13.9,14.42,733007,10487431.7,0.42,3,14.3074,3.0542,346080000,,1639166938.36,24000000,0,113673158,47.911,8.1033,4.9026,9.6,
002102.SZ,ST박르,20070309,14.42,14.65,14.65,14.06,14.3,680660,9673132.6,-0.12,-0.8322,14.2114,2.8361,343200000,,1625526159.4,24000000,0,113673158,47.5123,8.0359,4.8618,9.5201,
002102.SZ,ST박르,20070312,14.3,14.28,14.5,14.14,14.24,1543900,22054691.6,-0.06,-0.4196,14.2851,6.4329,341760000,,1618705769.92,24000000,0,113673158,47.3129,8.0022,4.8414,9.4801,
002102.SZ,ST박르,20070313,14.24,14.24,14.34,13.95,14.15,1580940,22206068.7,-0.09,-0.632,14.0461,6.5873,339600000,,1608475185.7,24000000,0,113673158,47.0139,7.9516,4.8108,9.4202,
002102.SZ,ST박르,20070314,14.15,14.2,14.2,13.6,14.02,854769,11847023.3,-0.13,-0.9187,13.8599,3.5615,336480000,,1593697675.16,24000000,0,113673158,46.582,7.8785,4.7666,9.3337,
002102.SZ,ST박르,20070315,14.02,13.92,14.9,13.81,14.75,1561663,22482005.2,0.73,5.2068,14.3962,6.5069,354000000,,1676679080.5,24000000,0,113673158,49.0074,8.2888,5.0148,9.8196,
002102.SZ,ST박르,20070316,14.75,14.99,14.99,14.1,14.6,1414350,20717060.5,-0.15,-1.0169,14.6478,5.8931,350400000,,1659628106.8,24000000,0,113673158,48.509,8.2045,4.9638,9.7198,
002102.SZ,ST박르,20070319,14.6,14,14.7,14,14.6,380406,5491855.4,0,0,14.4368,1.585,350400000,,1659628106.8,24000000,0,113673158,48.509,8.2045,4.9638,9.7198,
002102.SZ,ST박르,20070320,14.6,14.45,15.3,14.41,14.9,900374,13509738.3,0.3,2.0548,15.0046,3.7516,357600000,,1693730054.2,24000000,0,113673158,49.5058,8.3731,5.0658,9.9195,
