ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
603848.SH,บรฬซฬซ,20180130,21.95,22.05,22.11,21.39,21.57,4505478,97439798,-0.38,-1.7312,21.627,10.989,884370000,,8649570000,41000000,0,401000000,56.9138,11.5537,7.7733,26.0801,
603848.SH,บรฬซฬซ,20180131,21.57,21.6,22.38,21.2,22.19,10160920,223656424,0.62,2.8744,22.0114,24.7827,909790000,,8898190000,41000000,0,401000000,58.5497,11.8858,7.9967,26.8297,
603848.SH,บรฬซฬซ,20180201,22.19,21.61,22.2,19.97,19.97,9703441,199422282,-2.22,-10.0045,20.5517,23.6669,818770000,,8007970000,41000000,0,401000000,52.6921,10.6966,7.1967,24.1455,
603848.SH,บรฬซฬซ,20180202,19.97,19,19.45,18.2,18.76,6550493,123445529,-1.21,-6.0591,18.8452,15.9768,769160000,,7522760000,41000000,0,401000000,49.4995,10.0485,6.7606,22.6825,
603848.SH,บรฬซฬซ,20180205,18.76,18.3,18.67,17.98,18,4735752,86485395,-0.76,-4.0512,18.2622,11.5506,738000000,,7218000000,41000000,0,401000000,47.4942,9.6414,6.4867,21.7636,
603848.SH,บรฬซฬซ,20180206,18,17.2,17.46,16.2,16.2,6243626,104699367,-1.8,-10,16.769,15.2284,664200000,,6496200000,41000000,0,401000000,42.7447,8.6773,5.8381,19.5872,
603848.SH,บรฬซฬซ,20180207,16.2,16.7,16.76,15.3,16.43,5952622,96976372,0.23,1.4198,16.2914,14.5186,673630000,,6588430000,41000000,0,401000000,43.3516,8.8005,5.9209,19.8653,
603848.SH,บรฬซฬซ,20180208,16.43,16.2,16.82,16.11,16.5,3504225,58062136,0.07,0.426,16.5692,8.5469,676500000,,6616500000,41000000,0,401000000,43.5363,8.838,5.9462,19.95,
603848.SH,บรฬซฬซ,20180209,16.5,15.7,16.08,15.07,15.4,4278469,66958548,-1.1,-6.6667,15.6501,10.4353,631400000,,6175400000,41000000,0,401000000,40.6339,8.2488,5.5498,18.62,
603848.SH,บรฬซฬซ,20180212,15.4,15.76,16.16,15.72,16.03,3554773,56608611,0.63,4.0909,15.9247,8.6702,657230000,,6428030000,41000000,0,401000000,42.2962,8.5862,5.7768,19.3817,
603848.SH,บรฬซฬซ,20180213,16.03,16.08,16.35,15.86,15.9,3266388,52447492,-0.13,-0.811,16.0567,7.9668,651900000,,6375900000,41000000,0,401000000,41.9532,8.5166,5.7299,19.2245,
603848.SH,บรฬซฬซ,20180214,15.9,15.9,16.19,15.8,16.01,2294678,36800099,0.11,0.6918,16.0372,5.5968,656410000,,6420010000,41000000,0,401000000,42.2434,8.5755,5.7696,19.3575,
603848.SH,บรฬซฬซ,20180222,16.01,16.2,16.5,16.05,16.47,2661780,43477834,0.46,2.8732,16.3341,6.4921,675270000,,6604470000,41000000,0,401000000,43.4571,8.8219,5.9354,19.9137,
603848.SH,บรฬซฬซ,20180223,16.47,16.48,16.68,16.31,16.66,2678582,44294170,0.19,1.1536,16.5364,6.5331,683060000,,6680660000,41000000,0,401000000,43.9585,8.9237,6.0038,20.1434,
603848.SH,บรฬซฬซ,20180226,16.66,16.94,17.57,16.94,17.24,3882815,67087329,0.58,3.4814,17.278,9.4703,706840000,,6913240000,41000000,0,401000000,45.4888,9.2344,6.2128,20.8447,
603848.SH,บรฬซฬซ,20180227,17.24,17,17.52,17,17.4,4004812,69304023,0.16,0.9281,17.3052,9.7678,713400000,,6977400000,41000000,0,401000000,45.911,9.3201,6.2705,21.0382,
603848.SH,บรฬซฬซ,20180228,17.4,17.22,17.22,16.68,16.81,2909395,49242909,-0.59,-3.3908,16.9255,7.0961,689210000,,6740810000,41000000,0,401000000,44.3543,9.004,6.0579,20.3248,
603848.SH,บรฬซฬซ,20180301,16.81,16.63,17.07,16.53,16.99,2300455,38977766,0.18,1.0708,16.9435,5.6109,696590000,,6812990000,41000000,0,401000000,44.8292,9.1005,6.1227,20.5424,
603848.SH,บรฬซฬซ,20180302,16.99,16.9,16.97,16.58,16.62,2655912,44493256,-0.37,-2.1778,16.7525,6.4778,681420000,,6664620000,41000000,0,401000000,43.8529,8.9023,5.9894,20.0951,
603848.SH,บรฬซฬซ,20180305,16.62,16.63,17.1,16.63,17.07,2892845,48844800,0.45,2.7076,16.8847,7.0557,699870000,,6845070000,41000000,0,401000000,45.0403,9.1433,6.1516,20.6392,
