測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,20070215,436.3222,437.69,446.5806,434.2705,439.0578,1590870,30689205,2.7356,0.627,19.2908,0.375,8171103554.46,,19288758377.16,424252521,0,1001493166,36.7621,7.2309,4.9023,-8921.7451,
600660.SH,腦珓產薛,20070216,439.0578,441.1094,473.9362,430.3951,455.4711,3313603,65926008,16.4134,3.7383,19.8956,0.781,8476565369.58,,20009833456.68,424252521,0,1001493166,38.1364,7.5012,5.0856,-9255.2676,
600660.SH,腦珓產薛,20070226,455.4711,455.4711,460.0304,440.1976,455.6991,2514278,49424188,0.228,0.0501,19.6574,0.5926,8480807894.79,,20019848388.34,424252521,0,1001493166,38.1554,7.5049,5.0881,-9259.9004,
600660.SH,腦珓產薛,20070227,455.6991,451.3678,457.7508,410.1064,410.1064,4419169,82708490,-45.5927,-10.005,18.7158,1.0416,7632302852.79,,18016862056.34,424252521,0,1001493166,34.338,6.7541,4.5791,-8333.4473,
600660.SH,腦珓產薛,20070228,410.1064,394.6049,414.8936,382.9787,404.4073,7377170,128193044,-5.6991,-1.3897,17.377,1.7389,7526239722.54,,17766488764.84,424252521,0,1001493166,33.8608,6.6602,4.5154,-8217.6406,
600660.SH,腦珓產薛,20070301,404.4073,409.4225,417.6292,382.9787,389.3617,5207633,91022128,-15.0456,-3.7204,17.4786,1.2275,7246233058.68,,17105503275.28,424252521,0,1001493166,32.601,6.4124,4.3474,-7911.9106,
600660.SH,腦珓產薛,20070302,389.3617,389.3617,403.4954,389.3617,398.0243,4346540,75719419,8.6626,2.2248,17.4206,1.0245,7407449016.66,,17486070678.36,424252521,0,1001493166,33.3264,6.5551,4.4442,-8087.9365,
600660.SH,腦珓產薛,20070305,398.0243,399.848,428.3435,396.6565,407.1429,7822589,140611138,9.1185,2.291,17.975,1.8439,7577150025.06,,17886667944.76,424252521,0,1001493166,34.0899,6.7053,4.546,-8273.2275,
600660.SH,腦珓產薛,20070306,407.1429,410.5623,420.5927,401.2158,413.7538,8475671,153102615,6.6109,1.6237,18.0638,1.9978,7700183256.15,,18177100962.9,424252521,0,1001493166,29.9349,6.8141,4.6198,-8407.5635,
600660.SH,腦珓產薛,20070307,413.7538,421.7325,445.8967,421.2766,441.3374,4720552,90832793,27.5836,6.6667,19.242,1.1127,8213528806.56,,19388907693.76,424252521,0,1001493166,31.9306,7.2684,4.9278,-8968.0674,
600660.SH,腦珓產薛,20070308,441.3374,439.9696,446.8085,429.9392,442.0213,3252586,62832727,0.6839,0.155,19.3178,0.7667,8226256382.19,,19418952488.74,424252521,0,1001493166,31.9801,7.2797,4.9354,-8981.9639,
600660.SH,腦珓產薛,20070309,442.0213,443.617,446.8085,433.8146,444.9848,4289053,82791056,2.9635,0.6704,19.3029,1.011,8281409209.92,,19549146600.32,424252521,0,1001493166,31.8411,7.3285,4.9685,-9042.1836,
600660.SH,腦珓產薛,20070312,444.9848,447.4924,468.921,444.9848,458.6626,5312683,106071094,13.6778,3.0738,19.9656,1.2522,8535960722.52,,20150042499.92,424252521,0,1001493166,32.8198,7.5538,5.1212,-9320.1191,
600660.SH,腦珓產薛,20070313,458.6626,460.4863,460.4863,437.69,444.9848,3586853,70193041,-13.6778,-2.9821,19.5695,0.8455,8281409209.92,,19549146600.32,424252521,0,1001493166,31.8411,7.3285,4.9685,-9042.1836,
